title_de,title_ru
"Jahreshauptversammlung Staudach Egerndacher Heimatbühne e. V.","Годовое общее собрание акционеров Штаудах Эгерндахер Хайматбюне э. В."
"Gute Ideen für gemeinsames Handeln","Хорошие идеи для совместных действий"
Brettspielabend,"Вечер настольных игр"
"Vortragsabend - Kunstvoll & bunt - Personen der Weihnachtsgeschichte in der Darstellung eines äthiopischen Künstlers","Лекционный вечер - ""Искусные и красочные"" - персонажи рождественской истории в исполнении эфиопского художника"
"Kaffeetreff im Advent","Кофейная встреча в честь Адвента"
"Glüh-Birn Pub","Паб ""Глюх-Бирн"
"„A bissal staade Zeit“ mit Harfe und Horn","""A bissal staade Zeit"" с арфой и рожком"
Wortgottesfeier,"Литургия Слова"
"Adventsliedersingen für Familien","Пение адвента для семей"
"Musikalische Einstimmung auf Weihnachten","Музыкальная атмосфера Рождества"
"X-Mas Bash","X-Mas Bash"
"Familiengottesdienst mit Krippenspiel und Kinderchor","Семейная служба с рождественским спектаклем и детским хором"
"Weihnachtsschießen Oberwössen","Рождественские съемки Обервёссен"
Krippenfeier,"Праздник Рождества Христова"
"Weihnachtsschießen Unterwössen","Рождественские съемки Унтервёссен"
"Krippenfeier Oberwössen","Праздник в кроватке Обервёссен"
"Christvesper mit Harfenmusik","Рождественская вечерня с музыкой для арфы"
"Krippenfeier Unterwössen","Отдых в кроватке Унтервёссен"
"Christmette Oberwössen","Рождественская месса Обервёссен"
"Christmette Unterwössen","Рождественская месса Унтервёссен"
"Festgottesdienst Oberwössen","Праздничное обслуживание Обервёссен"
"Festgottesdienst Unterwössen","Праздничное обслуживание Унтервёссен"
"Sonderausstellung: Alle Zeit der Welt - Vom Urknall zur Uhrzeit","Специальная выставка: Все время мира - от Большого взрыва до часов"
"Panorama-Schneeschuhtour am Unternberg","Панорамная прогулка на снегоступах по Унтернбергу"
"Konzert zum Jahreswechsel","Концерт на рубеже лет"
"Luftgewehrschießen für Gäste in Oberwössen","Стрельба из пневматической винтовки для гостей Обервёссена"
"Salbungsgottesdienst am Altjahresabend","Служба миропомазания в канун Старого года"
"Ladung der Ortsvereine zur Leada Faschingshochzeit","Приглашение местных клубов на карнавальную свадьбу в Леаде"
"Christbaumversteigerung in Hart","Аукцион рождественских елок в Харте"
"Sankt Valentiner Seelenzuckerl: „Neujahrstexte“","Конфеты для души святого Валентина: ""Новогодние тексты"""
"Bergen. Rauhnachtsfest","Рождество в Бергене"
"Gemeindemeisterschaft im Tischtennis","Городской чемпионат по настольному теннису"
"Alpenhypno - Magie der Rauhnächte - Ritual zum Neubeginn","Alpenhypno - Магия бурных ночей - ритуал для нового начала"
"Meditation für Dein kraftvolles neues Jahr","Медитация для вашего сильного нового года"
"Die drei Dorfheiligen - Premiere","Три деревенских святоши - премьера"
Holzknechtball,"Деревянный шар для слуг"
"Christbaumversteigerung der FFW Chieming","Аукцион рождественских елок FFW Chieming"
"Pfarrei Grabenstätt: Festgottesdienst Hl. Drei Könige","Приход Грабенштетта: Месса в честь Трех королей"
"Festgottesdienst und Aussendung der Sternsinger","Праздничная служба и выступление исполнителей колядок"
"Freiwillige Feuerwehr Grabenstätt: Gottesdienst für die verstorbenen Mitglieder und Jahreshauptversammlung","Добровольная пожарная команда Грабенштетта: панихида по усопшим членам и годовое общее собрание"
"Festgottesdienst mit den Sternsingern","Праздничная служба с певцами-колядовщиками"
Jahrtag,Юбилей
"BIOTEAQUE Chiemgau Langlauftournee","Тур на беговых лыжах BIOTEAQUE Chiemgau"
"Jahreshauptversammlung 2026 der freiwilligen Feuerwehr Hart","Ежегодное общее собрание 2026 года Хартской добровольной пожарной дружины"
"Festgottesdienst am Dreikönigstag","Праздничная служба на Богоявление"
"Die ""Besondere Kirchenmusik"" - Epiphanie","""Особая церковная музыка"" - Богоявление"
"Musikalischer Gottesdienst","Музыкальная служба"
"Bergen. Hl. Dreikönig-Feier","Празднование Богоявления в Бергене"
"Führung durchs Museum Rupertiwinkel","Экскурсия с гидом по музею Рупертивинкель"
"Kennenlernen mit dem Percht!","Познакомьтесь с Перхтом!"
"Neujahrskonzert „Orchestervielfalt; Saitenreisen; Duo Dörner & Zweck“","Новогодний концерт ""Оркестровое разнообразие; струнные путешествия; дуэт Дёрнер и Цвек"""
"Rauhnachtslauf der Stoa-Perchten","Раунахтсляуф из Стоа-Перхтен"
"Live Musik am Wintermarkt mit ""de Bicknbleiber""","Живая музыка на зимнем рынке с ""de Bicknbleiber"""
"Hl. Dreikönig Hoagart - Mit Musi und Gsang ins neue Jahr","Хл. Драйкёниг Хоагарт - С музыкой и пением в новый год"
"Die drei Dorfheiligen","Три деревенских святых"
"Konzert mit Christoph Poppen und Tomoko Nishikawa","Концерт с Кристофом Поппеном и Томоко Нисикавой"
"Geführte Premium-Winterwanderung ""Panoramaweg"" - Ein Erlebnis mit unserem Outdoor-Team","Зимний поход премиум-класса ""Тропа Панорамы"" - опыт с нашей командой outdoor"
Spielenachmittage,"Играйте после обеда"
"Partystimmung am Reit im Winkler Glühweinstandl","Атмосфера вечеринки в отеле Reit im Winkler Glühweinstandl"
"Abendführung durch die Adelholzener Wasserwelt","Вечерняя экскурсия по водному миру Адельхольцена"
"Zimmerstutzen-Schützengesellschaft Grabenstätt: Königsschießen","Zimmerstutzen-Schützengesellschaft Grabenstätt: Королевская стрельба"
"Der etwas andere Hüttenabend mit ""Maschtei Live""","Несколько иной вечер в хижине с ""Maschtei Live""."
Strickabend,"Вечер вязания"
Hoagart,Хоагарт
"Geführte Winterwanderung ""Hutzenalm"" - Ein Erlebnis mit unserem OUTDOOR-Team","Зимний поход с гидом ""Хутценальм"" - опыт с нашей командой OUTDOOR"
